2026-02-26 01:14:56,822 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44c82d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:14:56,836 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44c8cd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:14:58,853 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44bd940>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:14:58,868 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44be190>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:14:58,883 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44769f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:00,898 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44f0380>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:00,912 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44f0af0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:00,928 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44f0d10>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:02,943 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fdf0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:02,958 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fce0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:02,977 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f9b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:04,990 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f680>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:05,005 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f8a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:05,020 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f350>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:07,036 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f240>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:07,051 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f130>: Failed to establish a new connection: [Errno 111] Connection refused'))
